QID,Brand,Model,Question,Dialogue
Q1,大众(进口),高尔夫(进口),我的帕萨特烧机油怎么办怎么办？,技师说：你好，请问你的车跑了多少公里了，如果在保修期内，可以到当地的4店里面进行检查维修。如果已经超出了保修期建议你到当地的大型维修店进行检查，烧机油一般是发动机活塞环间隙过大和气门油封老化引起的。如果每7500公里烧一升机油的话，可以在后备箱备一些机油，以便机油报警时有机油及时补充，如果超过两升或者两升以上，建议你进行发动机检查维修。|技师说：你好|车主说：嗯
Q2,一汽-大众奥迪,奥迪A6,修一下多少钱是换还是修,技师说：你好师傅！抛光处理一下就好了！50元左右就好了，希望能够帮到你！祝你生活愉快！
Q3,上汽大众,帕萨特,帕萨特领域    喇叭坏了  店里说方向盘里线坏了 换一根两三百不等 感觉太贵 ,技师说：你好，气囊油丝坏了吗，这个价格不贵。可以更换。
Q4,南京菲亚特,派力奥,发动机漏气会有什么征兆？,技师说：你好！一：发动机没力，并伴有“啪啪”的漏气声音。二：发动机没力，并伴有排气管冒黑烟。三：水温高，水箱盖出冒气泡出来。
Q5,东风本田,思铂睿,请问 那天右后胎扎了订，补了胎后跑高速80多开始有点抖，110时速以上抖动明显，以为是未做动平衡导致，做了一样抖，请问是不是前面两条胎的问题导致？,技师说：你好师傅！可能前轮平衡快脱落或者不平衡造成的！建议前轮做一下动平衡就好了！希望能够帮到你！祝你用车愉快！|车主说：谢谢大师！|技师说：不客气！祝您用车愉快！
Q6,上汽通用别克,君威,您好，我的是新款君威  今晚开车的时候，突然有一股从发动机舱出来的烧焦味，是什么原因呢？,技师说：你好师傅！车子有什么故障或者异常吗？|车主说：没什么故障 也没异常 就是突然烧了什么一样 一股异味|技师说：你好师傅，车子没有异常，那可能排气管关上缠到了方编袋造成的，|技师说：或者车子开到修理厂清理一下，希望能够帮到你！祝你生活愉快！
Q7,众泰汽车,众泰T600,众泰T600跑17000了防冻液发现有些少  防冻液是绿色的  我是不是加一样颜色的就行了,技师说：你好！对的，如果要添加的话你还是需要添加绿色的防冻液的。|车主说：[图片]|车主说：淘宝上的防冻液都靠谱嘛|车主说：销量挺好|技师说：这个是没有问题的，可以购买。|技师说：看看是不是绿色的哦！不要买错了。|车主说：谢谢|技师说：不客气
Q8,一汽海马,福美来,铃木锋驭 跑了11500公里，换了三次机油，今天突然OIL灯一直亮呢，不知道怎么回事？对车有没有害处？怎样解决这个问题？,技师说：有图吗？是红色的机油灯吗？如果机油灯常亮是不能再使用的，否则会对车辆发动机造成严重伤害，严重时会造成发动机抱死的故障。解决办法是拖车入厂，检查润滑系统故障，并根据故障原因进行相应的处理|技师说：[图片]
Q9,上汽通用五菱,宝骏630,轮胎出现这种裂纹需要更换吗,技师说：从这个图片来看，您的轮胎只是在胎面出现了一些裂痕，这种裂痕主要是由于行驶路面的问题导致的，但是这种情况不会影响到您车辆的正常使用，因为这个胎面他是有一些钢丝。就这个伤害来说，他绝对不会影响到轮胎的正常使用。这个您完全不用担心的。
Q10,东风风行,风行SX6,专家们  请问车子放了半月   打着火运转十来分钟  有异响  听一会就没有   是怎么回事  正常吗,技师说：这种情况有可能是因为停放的时间久了之后，机油的润滑刚开始没有完全润滑到发动机的机械部件，所以一开始可能听到的声音比较大一点，跟以前有区别，大约的时间也就是有个几秒钟吧，如果发动机在以后使用过程中没有问题，不用担心的。
